0,1,2,3,4,5,6,7,8
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,
医療法人社団高橋産婦人科クリニック,662-0971,兵庫県西宮市和上町6-22オリーブハイツ2階,0798-33-0150,https://www.tgc.or.jp/,有,平日 月火水木金 9:00-12:00  13:00-14:30月火水金 17:00-19:00土 9:00-12:00,有,
医療法人社団 もりたレディースクリニック,663-8035,兵庫県西宮市北口町1-2 ACTA西宮 東館4F,0798-69-3336,https://www.morita-ladies-clinic.com,有,月火木金: 10:00〜13:00  16:00〜19:00土: 10:00〜13:30,有,
山田産婦人科,663-8152,兵庫県西宮市甲子園町6-13,0798-41-0272,,有,月~土 9:00-12:00月・火・水・金 17:00-19:00,有,
徐クリニック,662-0822,兵庫県西宮市松籟荘10-25,0798-54-8551,https://www.joclinic.jp,有,月 水: 8:45~13:30 16:30~19:00火 木 金: 8:45~13:30土: 8:45~15:30,有,
江原産婦人科医院,663-8111,兵庫県西宮市二見町9ー17,0798-67-1162,http://nttbj.itp.ne.jp/0798671162/,有,平日(月火水木金土) 9:00-12:00(月・水・金)17:00-19:00,有,
岡田医院,662-0834,兵庫県西宮市南昭和町3-18,0798-67-1136,,有,平日 9:00-12:00 17:00-19:00土曜 9:00-12:00木曜休診,無,
こじまクリニック,662-0973,兵庫県西宮市田中町5-20-4F,0798-56-8602,https://koji-cli.com,有,"月、火、水、金 9:30-12:45 , 15:30-19:00土曜 9:30-12:45  木、日、祝 休診",有,
すずきレディースクリニック,662-0973,兵庫県西宮市田中町3-1-202,0798-39-0555,https://www.suzuki-lc.jp,有,月・火・水・金 : 9:30-12:30 16:00-19:00木・土 : 9:30-12:30 日、祝日 休診,有,
中川産婦人科クリニック,662-0866,兵庫県西宮市柳本町4-16,0798-72-1153,http://www.nakagawa-sanfujinka.com,有,月・火・水・金 9:00-12:00 18:00-19:00  木・土 9:00-12:00,有,
まりウィメンズクリニック,662-0045,兵庫県西宮市安井町5-14,0798-39-0777,https://www.mari-clinic.com,有,診療時間に準ずる,有,
みやざきレディースクリニック,662-0911,兵庫県西宮市池田町9-6-204,0798-32-5230,http://www.miyazaki-ladies.com/,有,平日 9:00-12:00 16:00-19:00(月・水・金)土 9:00-12:00,有,
医療法人社団 宮本レディースクリニック,662-0084,兵庫県西宮市樋之池町5-22,0798-75-1103,https://miyamoto-lc.jp/,有,月水金 9:00-12:00 17:00-19:00火 9:00-12:00木土 9:00-12:00 18:00-翌9:00,有,
レディース&マタニティクリニックサンタクルスザシュクガワ,662-0063,兵庫県西宮市相生町8-11,0798-75-1188,http://www.santacruz.or.jp/,有,月・火・木 9:00-13:00  17:00-19:00水 9:00-13:00  14:30-16:00(完全予約制)金 9:00-13:00  14:30-16:00(完全予約制)17:00-19:00土曜 9:00-16:00,有,
芦屋小野レディスクリニック,659-0076,兵庫県芦屋市清水町,0797-21-3700,https://www.ono-lc.com/,有,8:00-20:00,有,
阿部レディースクリニック,659-0065,兵庫県芦屋市公光町7-15 スピリット芦屋1F,0797-25-0401,http://www.ashiya-abe.com,有,月・火・水・金 10:00~19:00 木・土 10:00~13:00,有,
ウィメンズクリニック布谷,659-0093,兵庫県芦屋市船戸町1-29 芦屋駅西ビル5階,0797-25-2520,http://www.womens-clinic-nunotani.jp,有,月火木金 10:00-13:00 16:00-18:30 水土10:00-13:00,有,
医療法人社団三侑会 渡辺産婦人科小児科,659-0093,兵庫県芦屋市船戸町6-21,0797-22-5027,https://since1935.jp/,有,月・火・水・金 8:30-15:00木・土 8:30-12:00,有,
市立伊丹病院,664-8540,兵庫県伊丹市昆陽池1丁目100番地,072-777-3773,http://www.hosp.itami.hyogo.jp/,有,平日8:30~17:00※上記以外の時間帯でも、産婦人科医師が宿日直の場合対応可,有,
医療法人社団高橋産婦人科医院,666-0142,兵庫県川西市清和台東1-3-75,072-799-0001,http://www.medic-grp.co.jp/doctor/takahashi_s/,有,平日(月・水・金) 9:30-19:00(火・木) 9:30-12:00土曜 9:30-12:00,無,
戸田医院,666-0105,兵庫県川西市見野2丁目36番11,072-794-7778,http://www.toda-iin.com/sp/,有,月~土 午前9:00-12:15月・水・金 午後17:00-19:00,ほぼ有(在庫少),
医療法人社団 ふかみレディースクリニック,666-0033,兵庫県川西市栄町12-8 三宝ビル4F,072-740-0230,https://www.wish-fukami.com/,有,月・火・水・金 9:30-12:30 16:30-19:00木・土 9:30-12:30,有,
愛和レディースクリニック,664-0027,兵庫県伊丹市池尻1丁目204-2,072-770-2000,http://www.aiwa-ladies.com,有,"月・火・木・金:9:00-12:00, 16:00-19:00水・土:9:00-12:00",有,
いけざわレディースクリニック,664-0858,兵庫県伊丹市西台1丁目2-11C-3ビル1F,072-777-8184,https://www.ikezawa-clinic.jp/,有,月~金 9:30-13:00 16:30-19:30土 9:30-13:00日祝休み,有,
みずほレディースクリニック,664-0013,兵庫県伊丹市瑞穂町5-72,072-778-4103,http://www.mizuho-clinic.com,有,月から土: 9:30~12:30月・火・水・金: 15:30~19:00,有,
みずほレディースクリニック伊丹駅前,664-0851,兵庫県伊丹市中央1-4-2 くらすと伊丹4階,072-785-2202,http://ekimae.mizuho-clinic.com/,有,月:9:30~12:30火~金::9:30~12:30  15:30~19:00土:9:30~12:30  15:00~18:00,有,
レディースクリニックTaya,664-0846,兵庫県伊丹市伊丹1丁目10-14-201-5,072-771-7717,https://lc-taya.jp/,有,月・火・水・木・金・土 午前 9:00-12:00月・火・木・金 午後 16:30-18:30,有,
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,
六甲アイランド甲南病院,658-0032,兵庫県神戸市東灘区向洋町中2丁目11番地,078-858-1111,http://kohnan.or.jp/rokko/,有,月・火・木・金 9:00-11:30 のみ対応可,有,
神戸市立医療センター西市民病院,653-0013,兵庫県神戸市長田区一番町2丁目4番地,078-576-5251,,有,平日 9:00-11:30(火・木曜日は9:00-10:30),無,
医療法人社団慈恵会 新須磨病院,654-0048,兵庫県神戸市須磨区衣掛町3丁目1番14号,078-735-0001,https://www.jikeikai-group.or.jp/shinsuma/,有,平日(含む、土曜日) 9:00~12:00,無,
医療法人社団純心会パルモア病院,650-0012,兵庫県神戸市中央区北長狭通4-7-20,078-321-6000,http://www.palmore.or.jp/,有,1)平日および土曜: 8:30-18:00 (ただし、通常の診療時間内は予約またはご来院の順にしたがって対応します)2)日曜祝日は当院受診歴のある方に限り10:00-18:00の時間帯のみ対応可能 (ただし、分娩手術等のため長時間お待たせする可能性有り),有,
池田診療所,658-0001,兵庫県神戸市東灘区森北町2丁目2番3号,078-451-1331,,有,月曜~土曜 9:00-18:30(祝祭日、年末年始を除く),有,
医療法人社団産科婦人科ナカムラクリニック,658-0046,兵庫県神戸市東灘区御影本町2丁目9番1号,078-851-0031,http://www.nakamura-lc.com/,有,月・火・水・金 9:00-12:00  17:00-19:00木・土 9:00-12:00,有,
山崎産科婦人科医院,658-0052,兵庫県神戸市東灘区住吉東町2-4-38,078-851-6490,http://yamasaki-lc.ftw.jp,有,"平日9:30-13:00, 15:00-18:00 土曜日9:00-12:00",有,
こじまレディースクリニック,658-0047,兵庫県神戸市東灘区御影2-32-12,078-414-7670,http://www.kojima-lc.jp/,有,平日10:00-13:00 16:00-19:00 土曜10:00-13:00,有,
登村レディスクリニック,658-0046,兵庫県神戸市東灘区御影本町4丁目11-5,078-841-3599,http://www.tomura-lc.com/,有,"月、水、金 9:00-12:00, 16:00-19:00火、木、土 9:00-12:00",有,
中島クリニック,658-0072,兵庫県神戸市東灘区岡本1-13-7-202,078-431-3230,http://www.nakajima-c.jp/,有,月~土 9:30-12:30 16:00-19:00木・土は午前診のみ,有,
もりレディースクリニック,658-0003,兵庫県神戸市東灘区本山北町2丁目9-7,078-412-3935,http://mori-lc.jp/,有,24時間対応(自己都合により断ることもあり),有,
医療法人社団たなべ産婦人科,657-0028,兵庫県神戸市灘区森後町3丁目5番30号ナタール六甲ビル6階,078-821-0303,https://www.tanabe-clinic.com/,有,平日 9:00-12:00  17:00-19:00(木曜休み)土曜 9:00-12:00,有,
川口レディースクリニック,657-0846,兵庫県神戸市灘区岩屋北町7丁目1-30-201,078-881-8208,http://www.klady-clinic.gr.jp/,有,平日 AM9:30-12:30 PM4:00-7:00  土曜日AM9:30-2:00,有,
亀田マタニティ・レディースクリニック,657-0051,兵庫県神戸市灘区八幡町1-8-15,078-822-4188,https://www.kameda-c.com/,有,外来診療時間(月・水・金 9:00-12:00  16:00-19:00  火・木・土 9:00-12:00),有,
雅レディースクリニック,657-0028,兵庫県神戸市灘区森後町3-5-41 FTKビル2F,078-857-0155,http://www.miyabi-lc.com/,有,平日:10:00-13:00 14:00-18:00(木曜日は休診)土曜:10:00-13:00,有,
野々垣レディースクリニック,652-0897,兵庫県神戸市兵庫区駅南通1丁目2-34 兵庫駅前クリニックビル5F,078-681-4103,http://nlc-hyogo.net,有,"月・火・木~土:9:30~11:50  月・火・金:16:00~18:20  水:9:30~11:20,16:30~18:20診療は予約制ですので、あらかじめ予約をお取りください",有,
みちもとレディースクリニック,653-0022,兵庫県神戸市長田区東尻池町2丁目3-16,078-671-4050,michimoto-cl.com,有,平日9:30-12:30 17:00-19:00土曜9:30-12:30 木曜 日曜休診,有,
愛育産婦人科,654-0131,兵庫県神戸市須磨区横尾1-9-2,078-741-6231,http://plaza.harmonix.ne.jp/~hiraike/pc/,有,平日(木曜休診)と土日祝も午前診有ります9:00~12:30。 月水金曜は午後診も有ります16:00~19:00。,有,
益子産婦人科医院,654-0023,兵庫県神戸市須磨区戎町3-5-15,078-732-4103,https://www.masuko-clinic.or.jp/,有,診療時間内月~土9:00~12:00(水曜9:00~11:00)月・火・金17:00~19:00,有,
森産婦人科医院,654-0033,兵庫県神戸市須磨区東町4丁目1-23,078-739-3000,,有,平日(木曜以外) 9:30-12:00 17:00-19:00木・日・祝 対応不可  土曜 9:30-12:00,有,
清水クリニック,655-0006,兵庫県神戸市垂水区本多聞6丁目28番23号,078-783-3030,https://byoinnavi.jp/clinic/71438,有,平日 8:00-20:00日曜 8:00-12:00,有,
竹森レディースクリニック,655-0046,兵庫県神戸市垂水区舞子台2-9-10 ミサキメディカルビル2F,078-766-3990,http://www.takemori-lc.com/,有,平日9:30-12:30 16:00-18:30、土曜日9:30-12:30,有,
森本産婦人科クリニック,655-0051,兵庫県神戸市垂水区舞多聞西5丁目1-7,078-786-1103,https://morimoto-mc.com/,有,月・水・金・土 9:00~12:00、16:00~19:00,有,
安部内科婦人科クリニック,651-1313,兵庫県神戸市北区有野中町1-11-10 仲第一ビル,078-984-3188,https://a.inet489.jp/abnf3188/,有,月~木 9:00-13:00 16:00-19:00 金・土9:00-13:00,無,
オカ・レディース・クリニック,651-1222,兵庫県神戸市北区大原3-8-1,078(586)2626,http://www.oka-lc.jp/,有,月・水・金 9:00-12:00 17:00-20:00 火・木・土 9:00-12:00,有,
かとうレディースクリニック,651-1302,兵庫県神戸市北区藤原台中町1-2-1 北神中央ビル307号,078-595-7258,https://www.oklc.org,有,月火水木金日10:00-12:30 月火水16:00-18:30 土15:00-18:00,有,
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
大門医院,665-0842,兵庫県宝塚市川面3丁目23番12号,0797-86-0881,https://www.daimon-cl.com/,,有,月・水・金 9時~12時 16時~19時 火・木・土 9時~12時,有
大西レディスクリニック,665-0022,兵庫県宝塚市野上1-1-24,0797-76-5210,http://onishi-clinic.sakura.ne.jp/index.html,,有,平日・土曜 9:00-12:00月・水・金 16:30-19:00,有
清水産婦人科医院,665-0011,兵庫県宝塚市南口2-2-4,0797-72-0300,https://www.shimizu-wcl.com,,有,月曜から水曜日9:00-12:00 14:00-16:00 16::30-19:00 木曜日9:00-12:00 14:00-16:00(木曜日の午後は予約診察のみ)金曜・土曜 9:00-12::30,有
信永みほレディースクリニック,665-0054,兵庫県宝塚市鹿塩 2丁目 13-41,0798-57-1225,https://www.miho-lc.com,,有,月・水・金 9:00-12:30  16:00-19:00火・木・土 9:00-12:30,有
平野マタニティクリニック,665-0881,兵庫県宝塚市山本東3-14-5,0797-80-4103,https://www.hirano-mc.com,,有,24時間(平日・日祝とも),有
レディース&マタニティクリニック サンタクルスザ タカラヅカ,665-0844,兵庫県宝塚市武庫川町6-22,0797-83-1188,http://www.santacruz.or.jp/,,有,平日 9:00-13:00 17:00-19:00土曜日 9:00-13:00 14:00-16:00日・祝 9:00-12:00,有
医療法人沖縄徳洲会 高砂西部病院,676-0812,兵庫県高砂市中筋1丁目10番41号,079-447-0100,https://www.takasagoseibu.jp/index,,有,月~土 9:00-12:00月・木 16:30-18:00,有
,,,,.html,,,,
あきこレディースクリニック,673-0846,兵庫県明石市上ノ丸3丁目11-8,078-965-6563,http://www.akiko-lc.com/,,有,原則、診療時間内,有
久保みずきレディースクリニック,673-0892,兵庫県明石市本町2-1-15,078-913-9811,kubomizuki-akashi.jp,,有,平日(水曜は休診)9:30-12:30  16:00-18:30土曜9:30-12:30,有
医療法人社団 私立二見レディースクリニック,674-0092,兵庫県明石市二見町東二見207,078-942-1783,,,有,月、火、水、金 9:00-12:00、13:00-15:00木、土 9:00-12:00,有
鈴木産婦人科医院,674-0081,兵庫県明石市魚住町錦が丘3丁目3-8,078-947-4882,,,有,AM9:00-PM1:00(日曜、祝日を除く),有
せきじま産婦人科,673-0866,兵庫県明石市朝霧町1-24-1,078-911-2407,,,有,常時,有
なかた・みずのやレディースクリニック,673-0891,兵庫県明石市大明石町1-3-8ユタカ第2ビル2F,078-912-3312,http://nakata-mi.sakura.ne.jp,,有,月火木金土9:00-12:30月火金16:00-19:00,有
医療法人社団 博愛産科婦人科,674-0094,兵庫県明石市二見町西二見450-5,078-941-8803,,,有,月~土9:30-12:30 月・水・金17:00-19:30,有
日野医院,673-0893,兵庫県明石市材木町9番17号,078-911-2910,,,有,月・水 9:00~12:30、火 9:00~12:00 17:00~19:00、金 9:00~12:30 17:00~19:00、土 9:00~12:00,有
ちくご・ひらまつ産婦人科医院,675-0068,兵庫県加古川市加古川町中津230-1,079-424-5163,https://hiramatsu-lc.com/,,有,月水金9:00-18:45 火9:00-16:45 土日9:00-11:45祝日休診 11:45-14:00除く,有
安田産婦人科クリニック,675-0117,兵庫県加古川市平岡町一色西2-369-1,079-435-6662,http://yasuda-rs.com/yoyaku/,,有,"月・火・水・金 9:30-13:00, 17:00-19:00、土 9:30-13:00",有
レディースクリニック近藤,675-0065,兵庫県加古川市加古川町篠原町111番地ゼロ・ワン・ゼロビル3F303,079-427-0928,,,有,"月・火・水・金 9:00-12:00, 14:00-17:00木 9:00-12:00のみ木曜午後、土曜、日曜・祝日は休み",有
大森産婦人科医院,676-0072,兵庫県高砂市伊保港町2丁目5番17号,079-448-1103,http://www.omori-gy.or.jp/,,有,平日9:00-18:00、土曜9:00-12:00,有
