0,1,2,3,4,5,6,7,8
公表の希望の有無,基本情報,,,,,,,
,施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
有,窪田レディースクリニック,416-0916,静岡県富士市平垣100-6,0545-65-7077,http://www.kubota-ladies.jp/index.html,有,月・火・木・金8時30分~18時水・土8時30分~12時,有
有,武田産婦人科医院,416-0945,静岡県富士市宮島330-7,0545-63-5122,,有,月・火・木・金8時30分~17時水・土8時30分~12時,有
有,たむらレディースクリニック,416-0951,静岡県富士市米之宮町250,0545-65-7777,,有,月・火・土8時30分~11時30分、14時30分~16時30分水8時30分~11時30分、14時30分~17時30分金8時30分~11時30分,有
有,長谷川産婦人科医院,417-0051,静岡県富士市吉原5-3-18,0545-53-7575,hasegawa-sanfujinka.com,有,月・火・木・金8時30分~12時30分、15時~18時水8時30分~12時30分土8時30分~14時祝日は曜日毎の診療,有
有,船津クリニック,416-0955,静岡県富士市川成新町295,0545-65-7272,http://www.funatsuclinic.com,有,月~水・金10時~13時、15時~18時木・土10時~13時いずれも休日除く,有
有,宮崎クリニック,416-0909,静岡県富士市松岡300-15,0545-66-3731,http://www.miyazaki-cl.com,有,月・火・水・金9時~12時、15時~18時土9時~12時,有
有,望月産婦人科医院,417-0847,静岡県富士市比奈1-856,0545-34-0445,,有,平日9時~12時30分、14時30分~17時30分木・土9時~12時30分,有
≪静岡市葵区≫,,,,,,,,
有,JA静岡厚生連静岡厚生病院,420-8623,静岡県静岡市葵区北番町23,054-271-7177,http://www.ja-shizuoka.or.jp/,有,平日8時30分~17時,有
有,静岡県立総合病院,420-8527,静岡県静岡市葵区北安東4-27-1,054-247-6111,http://www.shizuoka-pho.jp/spgp/sp/,有,24時間対応,有
有,静岡市立静岡病院,420-8630,静岡県静岡市葵区追手町10-93,054-253-3125,https://www.shizuokahospital.jp/,有,平日8時30分~17時15分,有
有,静岡赤十字病院,420-0853,静岡県静岡市葵区追手町8-2,054-254-4311,https://www.shizuoka-med.jrc.or.jp/,有,24時間対応可(性犯罪による診療のみ対応可),有
有,今井産科婦人科クリニック,420-0004,静岡県静岡市葵区末広町117-1,054-275-0341,www.imai-3f.com,有,電話対応は24時間可月・水・金9時~12時、15時~18時火・土9時~12時,有
